Características selecionadas,Total,15 a 17 anos,18 a 24 anos,25 a 29 anos
Total,"    19,0 ","    5,7 ","    20,4 ","    24,3 "
Situação de atividade,,,,
Só está ocupado,"    56,7 ","    30,6 ","    54,4 ","    62,4 "
Não estuda e não está ocupado,"    43,3 ","    69,4 ","    45,6 ","    37,6 "
Sexo,,,,
Homem,"    58,3 ","    55,5 ","    58,4 ","    58,5 "
Mulher,"    41,7 ","    44,5 ","    41,6 ","    41,5 "
Cor ou raça (1),,,,
Branca,"    27,6 ","    27,3 ","    28,0 ","    27,3 "
Preta,"    13,3 ","    10,7 ","    13,5 ","    13,5 "
Parda,"    58,0 ","    61,4 ","    57,5 ","    58,2 "
Preta ou parda,"    71,4 ","    72,1 ","    71,0 ","    71,7 "
Sexo e cor ou raça (1),,,,
Homem branco,"    16,2 ","    14,9 ","    16,2 ","    16,3 "
Homem preto ou pardo,"    41,6 ","    40,3 ","    41,6 ","    41,7 "
Mulher branca,"    11,4 ","    12,4 ","    11,8 ","    11,0 "
Mulher preta ou parda,"    29,8 ","    31,8 ","    29,4 ","    29,9 "
Nível de instrução,,,,
Sem instrução ou ensino fundamental incompleto,"    39,4 ","    53,6 ","    36,1 ","    41,3 "
Ensino fundamental completo,"    24,3 ","    24,9 ","    23,5 ","    25,0 "
Ensino médio incompleto,"    36,3 ","    21,5 ","    40,4 ","    33,7 "
Condição na unidade domiciliar (2),,,,
Pessoa de referência,"    30,0 ","    7,8 ","    24,5 ","    38,8 "
Cônjuge,"    22,4 ","    10,4 ","    18,7 ","    27,9 "
Filho,"    22,4 ","    10,4 ","    18,7 ","    27,9 "
Outro parente ou agregado,"    14,5 ","    25,5 ","    17,1 ","    10,4 "
Situação do domicílio,,,,
Urbano,"    78,5 ","    76,1 ","    79,3 ","    78,0 "
Rural,"    21,5 ","    23,9 ","    20,7 ","    22,0 "
Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (2),,,,
,,,,
Até 20%,"    34,7 ","    42,8 ","    34,0 ","    34,4 "
Mais de 20% até 40%,"    29,3 ","    29,5 ","    29,5 ","    29,0 "
Mais de 40% até 60%,"    18,7 ","    15,6 ","    19,4 ","    18,4 "
Mais de 60% até 80%,"    13,1 ","    8,9 ","    13,2 ","    13,5 "
Mais de 80%,"    4,2 ","    3,2 ","    3,9 ","    4,8 "
Grupos de idade com que deixou de frequentar escola,,,,
Nunca frequentou,"    3,1 ","    5,8 ","    2,9 ","    3,0 "
Até 10 anos,"    1,2 ","    1,7 ","    0,8 ","    1,6 "
11 a 14 anos,"    1,2 ","    1,7 ","    0,8 ","    1,6 "
15 a 17 anos,"    46,8 ","    71,8 ","    47,9 ","    42,4 "
18 anos ou mais,"    37,9 ",  - ,"    40,0 ","    40,3 "
